T	Result
300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.0
2700	0.0
3000	0.0
3300	0.0
3600	0.004
3900	0.035
4200	0.102
4500	0.235
4800	0.37
5100	0.513
5400	0.616
5700	0.697
6000	0.77
6300	0.813
6600	0.864
6900	0.905
7200	0.934
7500	0.947
7800	0.958
8100	0.963
8400	0.974
8700	0.977
9000	0.983
9300	0.987
9600	0.989
9900	0.989
10200	0.99
10500	0.99
10800	0.993
11100	0.995
11400	0.995
11700	0.995
12000	0.995
12300	0.995
12600	0.995
12900	0.995
13200	0.995
13500	0.995
13800	0.995
14100	0.995
14400	0.995
14700	0.995
15000	0.995
15300	0.995
15600	0.995
15900	0.996
16200	0.996
16500	0.996
16800	0.996
17100	0.997
17400	0.997
17700	0.997
18000	0.997
18300	0.997
18600	0.997
18900	0.997
19200	0.997
19500	0.997
19800	0.998
20100	0.998
20400	0.998
20700	0.998
21000	0.998
21300	0.998
21600	0.998
21900	0.998
22200	0.998
22500	0.998
22800	0.998
23100	0.998
23400	0.998
23700	0.998
24000	0.998
24300	0.998
24600	0.998
24900	0.998
25200	0.998
25500	0.998
25800	0.998
26100	0.998
26400	0.998
26700	0.998
27000	0.998
27300	0.998
27600	0.998
27900	0.998
28200	0.998
28500	0.998
28800	0.998
29100	0.998
29400	0.998
29700	0.998
30000	0.998
