T	Result
300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.0
2700	0.0
3000	0.0
3300	0.0
3600	0.0
3900	0.0
4200	0.0
4500	0.0
4800	0.009
5100	0.039
5400	0.125
5700	0.207
6000	0.331
6300	0.445
6600	0.538
6900	0.616
7200	0.682
7500	0.743
7800	0.8
8100	0.832
8400	0.863
8700	0.891
9000	0.906
9300	0.92
9600	0.933
9900	0.944
10200	0.953
10500	0.959
10800	0.966
11100	0.973
11400	0.975
11700	0.977
12000	0.978
12300	0.982
12600	0.983
12900	0.983
13200	0.983
13500	0.984
13800	0.985
14100	0.987
14400	0.987
14700	0.988
15000	0.99
15300	0.99
15600	0.99
15900	0.99
16200	0.99
16500	0.99
16800	0.99
17100	0.99
17400	0.99
17700	0.99
18000	0.99
18300	0.99
18600	0.99
18900	0.99
19200	0.99
19500	0.99
19800	0.991
20100	0.992
20400	0.993
20700	0.993
21000	0.993
21300	0.993
21600	0.993
21900	0.996
22200	0.996
22500	0.996
22800	0.996
23100	0.996
23400	0.996
23700	0.996
24000	0.996
24300	0.996
24600	0.996
24900	0.996
25200	0.996
25500	0.996
25800	0.996
26100	0.996
26400	0.996
26700	0.996
27000	0.996
27300	0.996
27600	0.996
27900	0.996
28200	0.996
28500	0.996
28800	0.996
29100	0.996
29400	0.996
29700	0.996
30000	0.996
