T	Result
300	0.0
600	0.0
900	0.0
1200	0.0
1500	0.0
1800	0.0
2100	0.0
2400	0.0
2700	0.0
3000	0.0
3300	0.0
3600	0.0
3900	0.0
4200	0.002
4500	0.011
4800	0.056
5100	0.142
5400	0.27
5700	0.413
6000	0.553
6300	0.667
6600	0.764
6900	0.822
7200	0.859
7500	0.895
7800	0.917
8100	0.938
8400	0.953
8700	0.968
9000	0.973
9300	0.977
9600	0.981
9900	0.985
10200	0.987
10500	0.992
10800	0.993
11100	0.994
11400	0.996
11700	0.997
12000	0.997
12300	0.997
12600	0.997
12900	0.997
13200	0.998
13500	0.998
13800	0.999
14100	0.999
14400	0.999
14700	0.999
15000	0.999
15300	0.999
15600	0.999
15900	1.0
16200	1.0
16500	1.0
16800	1.0
17100	1.0
17400	1.0
17700	1.0
18000	1.0
18300	1.0
18600	1.0
18900	1.0
19200	1.0
19500	1.0
19800	1.0
20100	1.0
20400	1.0
20700	1.0
21000	1.0
21300	1.0
21600	1.0
21900	1.0
22200	1.0
22500	1.0
22800	1.0
23100	1.0
23400	1.0
23700	1.0
24000	1.0
24300	1.0
24600	1.0
24900	1.0
25200	1.0
25500	1.0
25800	1.0
26100	1.0
26400	1.0
26700	1.0
27000	1.0
27300	1.0
27600	1.0
27900	1.0
28200	1.0
28500	1.0
28800	1.0
29100	1.0
29400	1.0
29700	1.0
30000	1.0
