T	Result
300	0
600	0
900	0
1200	0
1500	0
1800	0
2100	0
2400	0
2700	0
3000	0
3300	0
3600	0
3900	0
4200	0
4500	0
4800	0
5100	0
5400	0
5700	0
6000	0
6300	0
6600	0
6900	0
7200	0
7500	0
7800	0
8100	0
8400	0
8700	0
9000	0
9300	0
9600	0
9900	0
10200	0
10500	0.001
10800	0.007
11100	0.019
11400	0.062
11700	0.178
12000	0.343
12300	0.522
12600	0.658
12900	0.757
13200	0.813
13500	0.843
13800	0.863
14100	0.89
14400	0.903
14700	0.923
15000	0.946
15300	0.959
15600	0.968
15900	0.977
16200	0.985
16500	0.989
16800	0.992
17100	0.994
17400	0.994
17700	0.997
18000	0.997
18300	0.999
18600	0.999
18900	0.999
19200	0.999
19500	0.999
19800	1
20100	1
20400	1
20700	1
21000	1
21300	1
21600	1
21900	1
22200	1
22500	1
22800	1
23100	1
23400	1
23700	1
24000	1
24300	1
24600	1
24900	1
25200	1
25500	1
25800	1
26100	1
26400	1
26700	1
27000	1
27300	1
27600	1
27900	1
28200	1
28500	1
28800	1
29100	1
29400	1
29700	1
30000	1
