T	Result
200	0
400	0
600	0
800	0
1000	0
1200	0
1400	0
1600	0
1800	0.1
2000	0.28
2200	0.43
2400	0.55
2600	0.61
2800	0.66
3000	0.69
3200	0.69
3400	0.69
3600	0.69
3800	0.69
4000	0.69
4200	0.7
4400	0.7
4600	0.7
4800	0.7
5000	0.7
5200	0.7
5400	0.7
5600	0.7
5800	0.7
6000	0.7
6200	0.7
6400	0.7
6600	0.7
6800	0.7
7000	0.7
7200	0.7
7400	0.7
7600	0.7
7800	0.7
8000	0.7
8200	0.7
8400	0.7
8600	0.7
8800	0.7
9000	0.7
9200	0.7
9400	0.7
9600	0.7
9800	0.7
10000	0.7
10200	0.7
10400	0.7
10600	0.7
10800	0.7
11000	0.7
11200	0.7
11400	0.7
11600	0.7
11800	0.7
12000	0.7
12200	0.7
12400	0.7
12600	0.7
12800	0.7
13000	0.7
13200	0.7
13400	0.7
13600	0.7
13800	0.7
14000	0.7
14200	0.7
14400	0.7
14600	0.7
14800	0.7
15000	0.7
15200	0.7
15400	0.7
15600	0.7
15800	0.7
16000	0.7
16200	0.7
16400	0.7
16600	0.7
16800	0.7
17000	0.7
17200	0.7
17400	0.7
17600	0.7
17800	0.7
18000	0.7
18200	0.7
18400	0.7
18600	0.7
18800	0.7
19000	0.7
19200	0.7
19400	0.7
19600	0.7
19800	0.7
20000	0.7
20200	0.7
20400	0.7
20600	0.7
20800	0.7
21000	0.7
21200	0.7
21400	0.7
21600	0.7
21800	0.7
22000	0.7
22200	0.7
22400	0.7
22600	0.7
22800	0.7
23000	0.7
23200	0.7
23400	0.7
23600	0.7
23800	0.7
24000	0.7
